,statusText,price,address,addressZipcode,beds,baths,area,rentZestimate,variableData.text,units
415,Apartment for rent,2150,"5650-5652 Riley Street, 5650-5652 Riley St, San Diego, CA 92110",92110,1.0,1.0,500.0,,4 days ago,
416,Apartment for rent,3900,"5915 Lauretta St APT 2, San Diego, CA 92110",92110,2.0,2.0,1250.0,3399.0,39 days ago,
417,House for rent,6800,"4980 Northaven Ave, San Diego, CA 92110",92110,3.0,2.0,1454.0,4500.0,23 days ago,
418,Apartment for rent,2099,"Lauretta St - 12 Units, 5747 Lauretta St APT 3, San Diego, CA 92110",92110,1.0,1.0,550.0,2195.0,42 days ago,
419,Apartment for rent,2495,"5725 Linda Vista Rd APT 2, San Diego, CA 92110",92110,2.0,1.5,900.0,2527.0,2 days ago,
420,House for rent,6995,"4666 Huxley St, San Diego, CA 92110",92110,3.0,2.0,1667.0,4631.0,Video Walkthrough,
421,House for rent,3000,"4224 1/2 Jellett St, San Diego, CA 92110",92110,2.0,1.0,500.0,,24 days ago,
422,House for rent,7290,"2676 Burgener Blvd, San Diego, CA 92110",92110,4.0,3.5,3000.0,7500.0,43 days ago,
423,House for rent,4800,"4052 Loma Riviera Cir, San Diego, CA 92110",92110,4.0,2.5,1716.0,5147.0,30 days ago,
424,House for rent,10000,"5162 Gardena Ave, San Diego, CA 92110",92110,5.0,3.5,2400.0,7163.0,42 days ago,
425,Apartment for rent,1425,"Riley Street, 5752-58 Riley St #5754-1/2, San Diego, CA 92110",92110,0.0,1.0,300.0,,24 days ago,
426,Apartment for rent,2600,"3666 Pringle St, San Diego, CA 92110",92110,2.0,1.0,840.0,2635.0,16 hours ago,
427,Apartment for rent,7000,"2990 Mission Blvd #100, San Diego, CA 92109",92109,4.0,2.0,2400.0,6954.0,16 days ago,
428,Apartment for rent,2495,"Casa Riviera Apartments, 3773 Haines St #5, San Diego, CA 92109",92109,1.0,1.0,,,17 days ago,
429,Apartment for rent,3395,"1429 Hornblend St, San Diego, CA 92109",92109,2.0,1.0,,3499.0,5 days ago,
430,Apartment for rent,1995,"2055 Diamond St #B, San Diego, CA 92109",92109,1.0,1.0,,,43 days ago,
431,House for rent,2975,"4667 Ocean Blvd UNIT 211, San Diego, CA 92109",92109,1.0,1.0,742.0,3288.0,21 days ago,
432,House for rent,4995,"1704 Grand Ave, San Diego, CA 92109",92109,3.0,2.0,1500.0,5497.0,18 days ago,
433,Apartment for rent,2250,"3586 Mission Blvd, San Diego, CA 92109",92109,1.0,1.0,600.0,2385.0,21 days ago,
434,Apartment for rent,2850,"1959 Grand Ave #B, San Diego, CA 92109",92109,2.0,1.0,800.0,3066.0,28 days ago,
435,Apartment for rent,4595,"BA8:, 3434-36 Bayside Walk #3436-K, San Diego, CA 92109",92109,3.0,1.5,1250.0,,18 days ago,
436,Apartment for rent,2990,"1464 Grand Ave, San Diego, CA 92109",92109,2.0,1.0,825.0,3499.0,22 days ago,
437,Apartment for rent,3495,"Fe5: Rg/Eam-12.20, 1209 1215 Felspar St #1213-K-11., San Diego, CA 92109",92109,3.0,1.0,900.0,,10 days ago,
438,House for rent,3400,"4029 Honeycutt St, San Diego, CA 92109",92109,0.0,1.0,1100.0,,21 days ago,
439,House for rent,4500,"3748 Jewell St, San Diego, CA 92109",92109,2.0,1.0,900.0,3798.0,8 days ago,
440,Condo for rent,3250,"1740 Roosevelt Ave APT C, San Diego, CA 92109",92109,2.0,2.0,744.0,3293.0,4 days ago,
441,House for rent,3495,"719 Ostend Ct, San Diego, CA 92109",92109,2.0,1.0,951.0,3994.0,11 days ago,
442,House for rent,3200,"3664 Mission Blvd, San Diego, CA 92109",92109,2.0,1.0,750.0,4746.0,4 days ago,
443,House for rent,3000,"3506 Promontory St, San Diego, CA 92109",92109,1.0,1.0,700.0,7729.0,15 days ago,
444,House for rent,8000,"5030 Pacifica Dr, San Diego, CA 92109",92109,3.0,2.0,1912.0,7927.0,14 days ago,
445,Apartment for rent,2600,"812-826 Tourmaline Street - 8, 812 Tourmaline St, San Diego, CA 92109",92109,1.0,1.0,,,17 days ago,
